time,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25
1,16,7,8,7,2,1,2,5,8,4,10,2,3,1,1,4,4,0,2,2,2,4,3,1,6
2,3,9,8,9,4,2,2,6,5,9,10,9,5,1,1,6,7,0,1,4,2,4,5,1,3
3,13,7,8,6,5,4,3,12,12,8,12,4,4,1,1,1,1,1,2,2,2,4,7,3,3
4,7,8,9,9,5,1,6,10,10,8,12,6,6,2,1,5,9,1,1,2,2,3,9,1,12
5,5,7,9,9,5,3,4,11,19,12,9,5,3,1,1,4,5,1,2,2,1,3,5,4,4
6,6,13,12,9,6,1,6,6,6,10,12,10,16,4,0,5,9,0,1,2,2,8,9,8,5
7,10,1,3,3,4,3,6,7,17,10,13,8,9,1,1,3,5,1,1,2,2,7,12,8,5
8,13,13,15,14,7,1,3,11,10,9,10,9,10,2,0,5,7,2,2,0,3,9,5,5,2
9,9,5,4,3,5,3,9,15,17,15,13,12,6,4,1,3,3,1,2,2,5,7,13,10,10
10,8,6,7,8,6,3,6,11,12,7,9,19,14,1,1,4,4,2,1,1,4,5,9,7,8
11,10,6,7,7,3,4,5,6,16,13,14,7,2,3,1,5,4,0,1,2,2,4,7,9,4
12,12,6,7,8,6,2,3,6,10,11,10,11,5,2,0,5,7,2,2,1,4,5,4,1,6
13,5,5,5,3,3,3,4,11,11,24,19,6,3,2,1,4,8,0,2,1,4,5,7,5,7
14,12,8,8,8,7,4,7,7,12,10,14,13,7,2,1,6,6,1,2,1,2,6,5,2,3
15,11,8,8,7,5,4,8,13,17,5,9,8,5,3,1,7,7,0,1,1,3,8,9,3,2
16,11,10,8,9,5,4,2,7,4,14,19,14,9,3,1,3,7,1,3,2,3,5,8,4,13
17,15,14,13,9,6,2,7,9,11,7,8,14,7,3,1,3,6,0,2,2,5,6,8,2,11
18,16,7,6,4,5,2,7,12,14,11,13,13,3,1,1,5,4,1,1,4,4,4,6,5,7
19,9,5,8,9,7,2,5,8,14,15,14,10,9,7,1,3,6,1,1,2,6,8,11,6,7
20,16,13,12,10,3,2,10,15,13,14,14,10,8,1,2,1,4,2,2,2,5,3,7,3,11
21,11,3,4,5,4,3,10,14,24,11,11,7,5,5,1,2,2,1,2,1,6,16,15,12,7
22,16,9,9,10,3,7,3,8,10,18,19,10,9,2,2,6,11,1,1,2,2,5,8,3,11
23,15,5,7,11,9,2,9,12,16,10,15,13,13,7,2,3,4,1,1,2,8,8,12,5,9
24,14,13,11,8,4,6,9,12,12,19,19,21,6,6,0,4,5,1,2,2,4,7,6,5,14
25,11,3,3,4,6,6,12,14,25,7,15,8,4,2,1,7,8,1,1,1,7,10,10,9,6
