time,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12(直行公交),lane13,lane14,lane15,lane16
1,7,2,3,2,15,21,4,3,1,1,4,1,13,11,6,2
2,8,2,3,3,14,12,4,4,7,2,1,1,10,9,6,4
3,3,3,2,4,7,6,2,1,5,1,5,1,14,13,5,2
4,9,5,1,4,19,19,3,2,3,3,2,2,10,11,9,4
5,10,4,5,4,17,14,2,2,5,0,2,2,16,14,11,4
6,9,3,4,6,19,17,7,4,4,2,3,3,19,18,12,12
7,9,3,2,1,15,18,2,2,4,3,5,2,21,20,7,9
8,12,3,2,2,24,21,2,5,2,2,7,2,27,24,21,2
9,16,5,1,3,20,21,7,5,9,2,5,1,26,22,22,5
10,9,9,4,2,16,15,10,3,3,2,6,2,22,21,13,9
11,13,2,1,1,27,23,9,1,9,4,9,2,26,25,24,10
12,13,7,3,5,26,21,9,2,12,5,2,2,17,15,16,4
13,13,5,6,1,18,15,7,4,6,4,3,1,14,13,9,10
14,17,5,1,3,23,23,11,4,9,6,6,1,17,17,12,4
15,16,6,4,2,29,25,3,6,6,5,11,1,23,22,20,5
16,16,11,7,4,17,15,9,1,13,10,10,1,22,21,16,11
17,9,8,5,3,21,24,19,3,3,5,6,1,17,13,18,11
18,17,4,5,2,26,21,4,5,12,10,6,2,32,31,19,7
19,21,14,9,6,29,25,13,5,9,6,5,3,16,13,10,10
20,7,8,1,2,22,22,10,2,7,3,6,2,20,15,17,11
21,19,11,7,3,27,14,3,3,12,2,3,2,24,21,14,7
22,15,11,6,3,23,21,14,5,6,3,3,3,24,24,18,5
23,10,20,9,4,20,25,10,6,9,5,10,1,18,13,14,12
24,13,15,1,1,25,21,9,5,9,5,7,2,28,25,22,15
25,13,8,2,2,30,21,4,6,12,2,5,3,28,21,21,12
